Country Name,Country Code,"External debt stocks, public and publicly guaranteed ",Present value of external debt (current US$) ,"Wage and salaried workers, total (% of total employment)",Population growth (annual %)
Afghanistan,AFG,1859403115,2139655439,18.25934638,2.534498317
Albania,ALB,4859519255,4623701701,47.17727716,-1.21579032
Algeria,DZA,1055682237,671247748.6,68.97834772,1.628339254
American Samoa,ASM,NA,NA,NA,-1.706495481
Andorra,AND,NA,NA,NA,0.994607149
Angola,AGO,47817457374,46548635256,35.2093601,3.096752671
Antigua and Barbuda,ATG,NA,NA,NA,0.581875833
Argentina,ARG,1.09252E+11,77879855756,72.3946078,0.925835474
Armenia,ARM,6319795229,6027585492,37.53474113,-0.377102034
Aruba,ABW,NA,NA,NA,-0.086392283
Australia,AUS,NA,NA,84.12883665,1.238638797
Austria,AUT,NA,NA,87.26944388,0.956287797
Azerbaijan,AZE,12910970947,12319012149,32.89958103,0.039507866
"Bahamas, The",BHS,NA,NA,83.32695896,0.508137884
Bahrain,BHR,NA,NA,97.32134603,0.611005553
Bangladesh,BGD,67608481844,53629867145,41.85348112,1.074836743
Barbados,BRB,NA,NA,79.54512977,0.15457464
Belarus,BLR,19329250768,18321563126,95.29481141,-0.804228427
Belgium,BEL,NA,NA,84.94279422,0.856132433
Belize,BLZ,1299417199,1175781256,67.36776713,1.301640251
Benin,BEN,5990009606,5327741460,21.44384298,2.702041089
Bermuda,BMU,NA,NA,NA,-0.36450518
Bhutan,BTN,2876881643,2514277293,28.81374128,0.637077531
Bolivia,BOL,13371906744,9862299776,31.17907804,1.190274813
Bosnia and Herzegovina,BIH,4742014026,4521308209,75.21927862,-1.150513985
Botswana,BWA,1524166157,1506736524,69.05953611,1.604757743
Brazil,BRA,1.89689E+11,1.64448E+11,67.87256591,0.459583548
British Virgin Islands,VGB,NA,NA,NA,0.58628646
Brunei Darussalam,BRN,NA,NA,92.13856345,0.811520876
Bulgaria,BGR,15870682188,14277006201,88.91286284,-6.187252982
Burkina Faso,BFA,4385246054,3233994666,14.3822784,2.559988391
Burundi,BDI,577592610.3,444291885.8,15.15512923,2.66016084
Cabo Verde,CPV,1922274593,1460436582,60.81745377,0.884624345
Cambodia,KHM,10063850463,7241637585,47.67286951,1.072167381
Cameroon,CMR,11838936567,9612235364,24.9963467,2.598102588
Canada,CAN,NA,NA,86.42637664,1.823370422
Cayman Islands,CYM,NA,NA,NA,0.833082382
Central African Republic,CAF,433691634.8,552586301.2,6.66609755,2.210795117
Chad,TCD,2440613626,2352204672,9.115595871,3.115022186
Channel Islands,CHI,NA,NA,84.88792745,0.805167545
Chile,CHL,NA,NA,75.39220488,0.565514128
China,CHN,4.64366E+11,4.08967E+11,54.23865893,-0.013099501
Colombia,COL,97610136306,97915074181,52.89782068,0.691481571
Comoros,COM,309811013.7,233946666.8,42.98501094,1.82699355
"Congo, Dem. Rep.",COD,5351434063,5382602571,13.60367715,3.197835105
"Congo, Rep.",COG,7164225983,6481972986,24.23094531,2.28055585
Costa Rica,CRI,14060739228,12877177564,72.63334788,0.520031292
Cote d'Ivoire,CIV,26447274027,23622819054,26.00308022,2.452703201
Croatia,HRV,NA,NA,86.51509882,-0.605075153
